SEGMENT: 1,SCENARIO:  HEFT-W of 57th,

HR,LANE VOLUME,LANE VOLUME,LANE VOLUME,LANE VOLUME,SHARE %,SHARE %,VC RATIO,VC RATIO,VC RATIO,VC RATIO,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,TOLL,TOLL
FACILITY,GU,GU,XL,XL,CORRIDOR,XL,XL,GU,GU,XL,XL,GU,GU,XL,XL,XL,XL
DIRECTION,NB,SB,NB,SB,TOTAL,NB,SB,NB,SB,NB,SB,NB,SB,NB,SB,NB,SB
  7:   ,   4731,   5098,    252,    343,  10425,    5.1,    6.3,   0.79,   0.86,   0.06,   0.08,   64.8,   64.4,   70.0,   70.0,   0.19,   0.19
  8:   ,   5506,   3286,   2544,    245,  11581,   31.6,    6.9,   0.92,   0.55,   0.62,   0.06,   48.6,   64.9,   69.9,   70.0,   0.20,   0.19
  9:   ,   5734,   3551,   2749,    280,  12314,   32.4,    7.3,   0.96,   0.60,   0.67,   0.07,   35.6,   64.9,   69.8,   70.0,   0.20,   0.19
 10:   ,   4954,   2658,   1408,    172,   9191,   22.1,    6.1,   0.83,   0.45,   0.34,   0.04,   64.6,   65.0,   70.0,   70.0,   0.19,   0.19
 11:   ,   4128,   5284,    267,    801,  10480,    6.1,   13.2,   0.69,   0.89,   0.07,   0.20,   64.9,   63.2,   70.0,   70.0,   0.19,   0.19
 12:   ,   3998,   4620,    256,    346,   9220,    6.0,    7.0,   0.67,   0.78,   0.06,   0.08,   64.9,   64.8,   70.0,   70.0,   0.19,   0.19
 13:   ,   4146,   4666,    268,    364,   9444,    6.1,    7.2,   0.70,   0.78,   0.07,   0.09,   64.9,   64.8,   70.0,   70.0,   0.19,   0.19
 14:   ,   4368,   4817,    293,    436,   9914,    6.3,    8.3,   0.73,   0.81,   0.07,   0.11,   64.9,   64.7,   70.0,   70.0,   0.19,   0.19
 15:   ,   4798,   5016,    438,    560,  10811,    8.4,   10.0,   0.81,   0.84,   0.11,   0.14,   64.7,   64.5,   70.0,   70.0,   0.19,   0.19
 16:   ,   5182,   5436,   1057,   1536,  13211,   16.9,   22.0,   0.87,   0.91,   0.26,   0.37,   64.1,   54.4,   70.0,   70.0,   0.19,   0.19
